"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","384.84","387.87","390.00","384.25","2.25M","-1.38%"
"02/19/2025","390.22","385.99","392.02","384.44","1.44M","0.69%"
"02/18/2025","387.56","384.63","390.49","381.49","3.70M","-0.11%"
"02/14/2025","388.00","390.00","391.00","387.43","2.02M","-0.39%"
"02/13/2025","389.53","388.61","390.91","384.73","3.39M","0.18%"
"02/12/2025","388.83","386.05","391.51","386.00","2.25M","-0.30%"
"02/11/2025","390.01","385.00","390.35","383.89","2.12M","0.81%"
"02/10/2025","386.89","388.24","390.00","385.19","1.77M","0.24%"
"02/07/2025","385.98","389.00","390.53","385.36","2.44M","-0.35%"
"02/06/2025","387.34","395.20","397.88","385.92","2.83M","-2.74%"
"02/05/2025","398.25","390.82","398.35","390.42","3.46M","1.69%"
"02/04/2025","391.62","381.51","392.45","380.55","3.17M","1.66%"
"02/03/2025","385.21","381.14","386.66","378.54","2.79M","0.07%"
"01/31/2025","384.95","380.75","387.00","379.64","3.11M","1.10%"
"01/30/2025","380.75","378.00","385.91","376.72","2.22M","1.69%"
"01/29/2025","374.42","379.87","381.90","373.18","2.35M","-1.05%"
"01/28/2025","378.39","372.00","382.02","370.75","4.05M","1.40%"
"01/27/2025","373.15","359.32","373.85","358.92","3.86M","2.96%"
"01/24/2025","362.41","362.14","364.00","360.15","1.83M","-0.23%"
"01/23/2025","363.26","358.09","363.32","357.65","2.11M","1.16%"
"01/22/2025","359.11","358.24","360.17","354.83","3.16M","0.75%"
"01/21/2025","356.42","349.25","356.86","348.00","3.10M","1.09%"
"01/17/2025","352.59","354.92","357.00","351.91","4.06M","0.58%"
"01/16/2025","350.56","349.11","353.25","347.00","2.03M","0.24%"
"01/15/2025","349.73","352.35","355.20","349.05","2.62M","0.21%"
"01/14/2025","348.99","351.21","352.52","345.63","1.83M","-0.04%"
"01/13/2025","349.14","345.13","350.91","344.37","2.71M","-0.19%"
"01/10/2025","349.79","355.03","358.00","348.74","2.83M","-2.22%"
"01/08/2025","357.73","361.00","363.60","355.35","2.22M","0.38%"
"01/07/2025","356.39","355.35","363.22","353.81","4.66M","1.44%"
"01/06/2025","351.33","352.81","354.49","349.65","2.36M","-0.71%"
"01/03/2025","353.85","350.00","354.82","349.09","2.03M","1.44%"
"01/02/2025","348.82","353.10","354.81","346.11","2.26M","-0.84%"
"12/31/2024","351.79","354.98","355.08","350.43","1.75M","-0.20%"
"12/30/2024","352.49","352.61","354.63","349.23","1.49M","-1.04%"
