"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","222.88","224.77","225.13","221.81","30.00M","-1.65%"
"02/19/2025","226.63","225.52","226.83","223.71","28.57M","-0.01%"
"02/18/2025","226.65","228.82","229.30","223.72","42.98M","-0.89%"
"02/14/2025","228.68","229.20","229.89","227.23","27.03M","-0.73%"
"02/13/2025","230.37","228.85","230.42","227.52","31.35M","0.63%"
"02/12/2025","228.93","230.46","231.18","228.16","32.29M","-1.65%"
"02/11/2025","232.76","231.92","233.44","230.13","23.71M","-0.16%"
"02/10/2025","233.14","230.54","233.92","229.20","35.42M","1.74%"
"02/07/2025","229.15","232.50","234.81","228.06","77.54M","-4.05%"
"02/06/2025","238.83","238.01","239.66","236.01","60.90M","1.13%"
"02/05/2025","236.17","237.02","238.32","235.20","38.83M","-2.43%"
"02/04/2025","242.06","239.01","242.52","238.03","29.71M","1.95%"
"02/03/2025","237.42","234.06","239.25","232.90","37.29M","-0.11%"
"01/31/2025","237.68","236.50","240.29","236.41","36.16M","1.30%"
"01/30/2025","234.64","237.14","237.95","232.22","32.02M","-1.03%"
"01/29/2025","237.07","239.01","240.39","236.15","26.09M","-0.45%"
"01/28/2025","238.15","234.29","241.77","233.98","41.59M","1.16%"
"01/27/2025","235.42","226.21","235.61","225.86","49.43M","0.24%"
"01/24/2025","234.85","234.50","236.40","232.93","25.89M","-0.24%"
"01/23/2025","235.42","234.10","235.52","231.51","26.40M","0.17%"
"01/22/2025","235.01","232.02","235.44","231.19","41.45M","1.86%"
"01/21/2025","230.71","228.90","231.78","226.94","39.95M","2.11%"
"01/17/2025","225.94","225.84","226.51","223.08","42.37M","2.39%"
"01/16/2025","220.66","224.42","224.65","220.31","24.76M","-1.20%"
"01/15/2025","223.35","222.83","223.57","220.75","31.29M","2.57%"
"01/14/2025","217.76","220.44","221.82","216.20","24.71M","-0.32%"
"01/13/2025","218.46","218.06","219.40","216.47","27.26M","-0.22%"
"01/10/2025","218.94","221.46","221.71","216.50","36.81M","-1.44%"
"01/08/2025","222.13","223.18","223.52","220.20","25.03M","0.01%"
"01/07/2025","222.11","227.90","228.38","221.46","28.08M","-2.42%"
"01/06/2025","227.61","226.78","228.84","224.84","31.85M","1.53%"
"01/03/2025","224.19","222.51","225.36","221.62","27.52M","1.80%"
"01/02/2025","220.22","222.03","225.15","218.19","33.96M","0.38%"
"12/31/2024","219.39","222.96","223.23","218.94","24.82M","-0.86%"
"12/30/2024","221.30","220.06","223.00","218.43","28.32M","-1.09%"
"12/27/2024","223.75","225.60","226.03","220.90","27.37M","-1.45%"
"12/26/2024","227.05","228.50","228.50","226.67","16.17M","-0.87%"
"12/24/2024","229.05","226.94","229.14","226.13","15.01M","1.77%"
"12/23/2024","225.06","225.01","226.88","223.90","28.07M","0.06%"
"12/20/2024","224.92","219.84","226.21","218.73","88.28M","0.73%"
"12/19/2024","223.29","224.91","226.09","222.92","39.92M","1.26%"
"12/18/2024","220.52","230.77","231.40","220.11","43.28M","-4.60%"
"12/17/2024","231.15","232.39","232.73","227.85","35.95M","-0.76%"
"12/16/2024","232.93","230.23","233.00","228.01","37.55M","2.40%"
"12/13/2024","227.46","228.40","230.20","225.86","28.77M","-0.66%"
"12/12/2024","228.97","229.83","231.09","227.63","28.20M","-0.56%"
"12/11/2024","230.26","226.41","231.20","226.26","35.39M","2.32%"
"12/10/2024","225.04","226.09","229.06","224.20","31.20M","-0.46%"
"12/09/2024","226.09","227.21","230.08","225.67","46.82M","-0.41%"
"12/06/2024","227.03","220.75","227.15","220.60","44.18M","2.94%"
"12/05/2024","220.55","218.03","222.15","217.30","41.14M","1.10%"
"12/04/2024","218.16","215.96","220.00","215.75","48.75M","2.21%"
"12/03/2024","213.44","210.31","214.02","209.65","32.21M","1.30%"
"12/02/2024","210.71","209.96","212.99","209.51","39.52M","1.36%"
"11/29/2024","207.89","205.83","208.20","204.59","24.89M","1.05%"
"11/27/2024","205.74","206.98","207.64","205.05","28.06M","-1.02%"
"11/26/2024","207.86","201.90","208.00","201.79","41.67M","3.18%"
"11/25/2024","201.45","199.28","201.95","199.00","40.69M","2.20%"
"11/22/2024","197.12","198.25","199.26","196.75","31.53M","-0.64%"
"11/21/2024","198.38","203.49","203.49","195.75","58.80M","-2.22%"
"11/20/2024","202.88","202.98","203.13","199.45","32.77M","-0.85%"
"11/19/2024","204.61","199.33","205.30","198.78","31.20M","1.44%"
"11/18/2024","201.70","204.15","204.67","200.95","36.51M","-0.45%"
"11/15/2024","202.61","206.76","207.34","199.61","86.59M","-4.19%"
"11/14/2024","211.48","214.16","215.90","210.88","42.62M","-1.22%"
"11/13/2024","214.10","209.40","215.09","209.14","46.21M","2.48%"
"11/12/2024","208.91","208.37","209.54","206.01","38.94M","1.00%"
"11/11/2024","206.84","208.50","209.65","205.59","35.46M","-0.64%"
"11/08/2024","208.18","209.72","209.96","207.44","36.08M","-0.89%"
"11/07/2024","210.05","207.44","212.25","207.19","52.88M","1.43%"
"11/06/2024","207.09","200.01","207.55","199.14","72.29M","3.80%"
"11/05/2024","199.50","196.04","199.82","195.99","30.56M","1.90%"
"11/04/2024","195.78","196.45","197.33","194.31","38.49M","-1.09%"
"11/01/2024","197.93","199.00","200.50","197.02","99.69M","6.19%"
"10/31/2024","186.40","190.51","190.60","185.23","75.15M","-3.28%"
"10/30/2024","192.73","194.70","195.61","192.42","37.71M","1.00%"
"10/29/2024","190.83","188.58","191.46","187.82","35.69M","1.30%"
"10/28/2024","188.39","189.57","190.21","188.21","27.93M","0.30%"
"10/25/2024","187.83","187.85","190.45","187.53","29.36M","0.78%"
"10/24/2024","186.38","185.25","187.11","183.86","21.65M","0.90%"
"10/23/2024","184.71","188.85","189.16","183.69","31.94M","-2.63%"
"10/22/2024","189.70","188.35","191.52","186.98","29.65M","0.33%"
"10/21/2024","189.07","188.05","189.46","186.40","24.64M","0.04%"
"10/18/2024","188.99","187.15","190.74","186.28","37.42M","0.78%"
"10/17/2024","187.53","188.22","188.94","186.00","25.04M","0.34%"
"10/16/2024","186.89","187.05","187.78","185.61","23.46M","-0.43%"
"10/15/2024","187.69","187.63","188.41","184.58","32.18M","0.08%"
"10/14/2024","187.54","189.78","189.83","187.36","22.61M","-0.68%"
"10/11/2024","188.82","186.63","189.93","186.30","25.75M","1.16%"
"10/10/2024","186.65","187.13","188.13","185.83","27.79M","0.80%"
"10/09/2024","185.17","182.82","185.85","182.05","26.34M","1.34%"
"10/08/2024","182.72","181.91","183.09","180.92","26.37M","1.06%"
"10/07/2024","180.80","182.95","183.60","180.25","42.36M","-3.06%"
"10/04/2024","186.51","185.75","187.60","183.60","41.08M","2.50%"
"10/03/2024","181.96","183.04","183.44","180.88","30.20M","-1.52%"
"10/02/2024","184.76","184.44","186.60","184.04","23.70M","-0.20%"
"10/01/2024","185.13","184.90","186.19","183.45","36.04M","-0.64%"
"09/30/2024","186.33","187.14","188.49","184.65","41.68M","-0.87%"
"09/27/2024","187.97","190.68","190.90","187.34","36.00M","-1.67%"
"09/26/2024","191.16","194.31","194.53","189.54","36.33M","-0.71%"
"09/25/2024","192.53","193.75","193.95","192.16","26.39M","-0.74%"
"09/24/2024","193.96","194.27","195.37","190.13","43.48M","0.04%"
"09/23/2024","193.88","191.64","194.45","190.57","36.99M","1.19%"
"09/20/2024","191.60","190.23","191.84","187.41","100.38M","0.91%"
"09/19/2024","189.87","190.04","190.99","188.47","39.54M","1.85%"
"09/18/2024","186.43","186.45","188.80","185.06","34.45M","-0.24%"
"09/17/2024","186.88","186.85","189.45","186.14","26.09M","1.08%"
"09/16/2024","184.89","185.29","185.81","183.36","26.07M","-0.86%"
"09/13/2024","186.49","187.00","188.50","185.91","26.50M","-0.27%"
"09/12/2024","187.00","184.80","187.41","183.54","33.62M","1.34%"
"09/11/2024","184.52","180.10","184.99","175.73","42.56M","2.77%"
"09/10/2024","179.55","177.49","180.50","176.79","36.23M","2.37%"
"09/09/2024","175.40","174.53","175.85","173.51","29.04M","2.34%"
"09/06/2024","171.39","177.24","178.38","171.16","41.47M","-3.65%"
"09/05/2024","177.89","175.00","179.88","174.99","40.17M","2.63%"
"09/04/2024","173.33","174.48","175.98","172.54","30.31M","-1.66%"
"09/03/2024","176.25","177.55","178.26","175.26","37.82M","-1.26%"
"08/30/2024","178.50","172.78","178.90","172.60","43.43M","3.71%"
