"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","186.64","186.50","187.12","184.60","12.06M","-0.26%"
"02/19/2025","187.13","186.18","187.36","185.50","13.12M","0.72%"
"02/18/2025","185.80","187.44","187.78","183.58","19.80M","-0.57%"
"02/14/2025","186.87","186.83","188.15","186.11","12.71M","-0.54%"
"02/13/2025","187.88","185.93","187.99","184.88","12.73M","1.32%"
"02/12/2025","185.43","185.23","186.83","183.63","17.63M","-0.88%"
"02/11/2025","187.07","186.84","188.80","186.08","13.03M","-0.60%"
"02/10/2025","188.20","189.06","189.99","187.61","16.61M","0.57%"
"02/07/2025","187.14","192.74","193.01","185.10","29.57M","-3.19%"
"02/06/2025","193.31","190.99","193.83","190.49","20.82M","0.01%"
"02/05/2025","193.30","193.10","194.55","189.91","43.72M","-6.94%"
"02/04/2025","207.71","204.50","208.70","204.26","28.29M","2.50%"
"02/03/2025","202.64","202.21","205.22","201.66","16.72M","-1.44%"
"01/31/2025","205.60","203.71","207.08","203.58","17.09M","1.47%"
"01/30/2025","202.63","199.76","203.24","199.47","14.57M","2.76%"
"01/29/2025","197.18","197.37","198.46","195.19","12.29M","0.06%"
"01/28/2025","197.07","194.65","197.23","192.61","15.94M","1.70%"
"01/27/2025","193.77","194.19","198.67","192.70","24.97M","-4.03%"
"01/24/2025","201.90","199.85","202.57","199.78","12.73M","1.16%"
"01/23/2025","199.58","199.98","201.94","196.82","15.17M","-0.22%"
"01/22/2025","200.03","200.55","202.12","199.20","15.48M","0.20%"
"01/21/2025","199.63","200.51","203.84","199.44","19.01M","1.05%"
"01/17/2025","197.55","198.05","198.81","195.31","22.11M","1.62%"
"01/16/2025","194.41","195.82","196.98","194.30","13.45M","-1.30%"
"01/15/2025","196.98","194.35","197.80","193.33","12.89M","3.10%"
"01/14/2025","191.05","192.50","193.27","189.64","13.65M","-0.64%"
"01/13/2025","192.29","191.35","192.49","188.66","13.17M","-0.46%"
"01/10/2025","193.17","195.42","197.62","191.60","20.75M","-1.14%"
"01/08/2025","195.39","193.95","197.64","193.75","14.34M","-0.67%"
"01/07/2025","196.71","198.27","202.14","195.94","16.97M","-0.63%"
"01/06/2025","197.96","195.15","199.56","195.06","19.48M","2.50%"
"01/03/2025","193.13","192.73","194.50","191.35","12.87M","1.31%"
"01/02/2025","190.63","191.49","193.20","188.71","17.55M","0.10%"
"12/31/2024","190.44","192.45","193.25","189.58","14.36M","-1.17%"
"12/30/2024","192.69","190.87","193.78","190.36","12.21M","-0.70%"
"12/27/2024","194.04","196.47","196.80","191.97","14.69M","-1.55%"
"12/26/2024","197.10","196.74","198.16","195.87","7.92M","-0.24%"
"12/24/2024","197.57","196.17","197.67","195.20","6.81M","0.81%"
"12/23/2024","195.99","194.03","196.49","191.63","15.24M","1.57%"
"12/20/2024","192.96","187.01","194.14","186.37","45.32M","1.72%"
"12/19/2024","189.70","193.28","194.60","189.52","26.98M","-0.24%"
"12/18/2024","190.15","196.83","198.69","189.28","27.64M","-3.54%"
"12/17/2024","197.12","198.53","202.88","196.69","24.13M","-0.52%"
"12/16/2024","198.16","194.37","200.64","194.11","32.25M","3.54%"
"12/13/2024","191.38","192.71","194.34","191.26","18.88M","-1.16%"
"12/12/2024","193.63","196.30","196.71","193.28","25.20M","-1.57%"
"12/11/2024","196.71","186.70","196.89","186.26","41.66M","5.46%"
"12/10/2024","186.53","184.54","188.03","182.67","34.32M","5.32%"
"12/09/2024","177.10","175.71","178.04","175.40","19.89M","0.35%"
"12/06/2024","176.49","173.88","176.84","173.55","13.32M","1.25%"
"12/05/2024","174.31","177.32","177.71","174.01","16.15M","-1.01%"
"12/04/2024","176.09","172.78","176.43","172.75","18.24M","1.77%"
"12/03/2024","173.02","173.12","174.32","172.51","15.72M","0.02%"
"12/02/2024","172.98","170.32","173.60","170.27","16.59M","1.46%"
"11/29/2024","170.49","170.06","170.87","168.75","9.25M","-0.19%"
"11/27/2024","170.82","170.68","171.14","169.67","12.43M","0.12%"
"11/26/2024","170.62","169.49","171.49","169.43","14.94M","0.70%"
"11/25/2024","169.43","167.99","170.46","167.40","21.40M","1.72%"
"11/22/2024","166.57","167.16","168.26","165.71","24.50M","-1.58%"
"11/21/2024","169.24","175.46","175.58","165.31","38.84M","-4.56%"
"11/20/2024","177.33","178.83","179.11","175.33","15.73M","-1.25%"
"11/19/2024","179.58","175.24","180.17","175.12","15.39M","1.57%"
"11/18/2024","176.80","174.96","176.91","174.42","18.73M","1.67%"
"11/15/2024","173.89","175.64","175.88","172.74","21.71M","-1.95%"
"11/14/2024","177.35","179.75","180.45","176.03","17.93M","-1.74%"
"11/13/2024","180.49","182.15","182.62","180.12","13.97M","-1.54%"
"11/12/2024","183.32","181.38","184.02","180.99","14.07M","0.74%"
"11/11/2024","181.97","180.07","182.09","179.99","12.50M","1.17%"
"11/08/2024","179.86","182.00","182.35","179.57","15.02M","-1.33%"
"11/07/2024","182.28","179.11","182.58","178.89","16.73M","2.21%"
"11/06/2024","178.33","175.35","178.64","175.04","27.06M","4.04%"
"11/05/2024","171.41","170.83","172.10","170.37","12.52M","0.43%"
"11/04/2024","170.68","171.24","171.92","169.49","16.19M","-1.14%"
"11/01/2024","172.65","171.54","173.82","170.31","21.75M","-0.02%"
"10/31/2024","172.69","174.72","178.42","172.56","32.80M","-1.96%"
"10/30/2024","176.14","182.41","183.79","175.75","49.70M","2.92%"
