"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","149.08","149.99","150.09","148.04","2.23M","-0.75%"
"02/19/2025","150.20","148.07","150.36","148.07","3.22M","0.81%"
"02/18/2025","148.99","148.18","149.49","147.99","2.60M","0.25%"
"02/14/2025","148.62","147.89","149.55","147.74","2.39M","-0.07%"
"02/13/2025","148.72","149.11","149.72","147.53","2.05M","-0.10%"
"02/12/2025","148.87","148.70","150.07","148.16","2.10M","-0.80%"
"02/11/2025","150.07","149.31","150.38","148.57","2.19M","0.25%"
"02/10/2025","149.69","150.16","150.60","148.13","3.53M","-0.12%"
"02/07/2025","149.87","152.50","152.90","149.54","3.36M","-1.61%"
"02/06/2025","152.32","152.70","153.47","151.57","2.76M","-0.09%"
"02/05/2025","152.45","152.46","153.62","150.74","2.84M","0.51%"
"02/04/2025","151.68","149.46","152.76","149.32","3.11M","1.09%"
"02/03/2025","150.04","149.18","151.63","148.15","3.56M","-1.42%"
"01/31/2025","152.20","154.99","155.00","152.13","4.16M","-1.42%"
"01/30/2025","154.40","152.00","154.65","151.83","3.96M","1.89%"
"01/29/2025","151.54","151.50","152.78","150.64","4.00M","0.09%"
"01/28/2025","151.40","151.32","152.96","149.79","4.29M","-0.08%"
"01/27/2025","151.52","149.00","152.00","148.91","4.93M","1.40%"
"01/24/2025","149.43","148.90","150.10","148.40","4.86M","-0.13%"
"01/23/2025","149.63","149.45","150.46","148.41","4.44M","0.34%"
"01/22/2025","149.12","147.88","152.08","147.41","7.08M","1.52%"
"01/21/2025","146.89","145.50","150.00","145.00","11.37M","4.16%"
"01/17/2025","141.03","139.65","141.66","139.50","5.72M","1.33%"
"01/16/2025","139.18","138.02","139.50","136.44","4.12M","1.02%"
"01/15/2025","137.78","138.21","138.85","137.12","4.11M","0.42%"
"01/14/2025","137.21","134.62","137.70","134.47","4.63M","1.94%"
"01/13/2025","134.60","130.73","134.73","129.54","4.21M","2.58%"
"01/10/2025","131.21","133.83","133.90","130.63","4.66M","-2.47%"
"01/08/2025","134.53","132.03","134.68","131.66","4.68M","1.33%"
"01/07/2025","132.77","130.09","132.80","130.01","3.41M","1.90%"
"01/06/2025","130.29","130.82","131.41","129.88","3.07M","0.32%"
"01/03/2025","129.87","129.70","130.86","129.30","2.27M","0.13%"
"01/02/2025","129.70","130.29","131.62","128.98","3.25M","0.47%"
"12/31/2024","129.09","129.20","130.05","128.66","2.22M","-0.03%"
"12/30/2024","129.13","129.12","129.92","127.92","2.15M","-0.81%"
"12/27/2024","130.18","129.91","131.18","129.21","1.84M","-0.76%"
"12/26/2024","131.18","130.33","131.40","129.23","1.49M","0.63%"
"12/24/2024","130.36","128.74","130.36","128.09","803.22K","1.07%"
"12/23/2024","128.98","128.50","129.19","127.75","2.07M","-0.23%"
"12/20/2024","129.28","126.37","130.35","125.75","8.35M","1.69%"
"12/19/2024","127.13","126.65","127.74","125.71","3.04M","1.27%"
"12/18/2024","125.53","128.21","129.37","125.37","3.75M","-1.97%"
